,Depth comp [mcd],Age [ka BP],SS [µm] (Plus fine sand (mean)),63-10 µm sort silt [%] (Plus fine sand (mean)),SS [µm],63-10 µm sort silt [%],SS_dHolocene,SSFS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,dU_ssfs_dhol_mccave,dU_ssfs_dhol_mccave_2std,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_wu_SSFS,pct_dU_dhol_wu_SSFS,dU_dhol_culp
57,0.64,3.2,45.65,81.49,33.32,73.94,-1.01314285714286,-1.5659999999999954,-1.3778742857142896,-0.19249714285714337,-2.129759999999994,-0.29753999999999925,-0.7699885714285736,-2.9509178969092833,-1.1901599999999966,-3.3166723144696624,-1.4285314285714326
58,0.65,3.47,47.51,83.9,33.78,76.18,-0.5531428571428592,0.29400000000000404,-0.7522742857142886,-0.10509714285714311,0.3998400000000055,0.05586000000000074,-0.42038857142857294,-1.6111046385832988,0.22344000000000308,0.6226702812605983,-0.7799314285714314
59,0.66,3.75,48.49,85.34,34.28,77.79,-0.05314285714285916,1.274000000000008,-0.07227428571428846,-0.010097142857143235,1.732640000000011,0.2420600000000015,-0.04038857142857296,-0.1547858795333181,0.9682400000000061,2.6982378854625724,-0.07493142857143141
60,0.67,4.02,47.17,84.16,33.66,76.65,-0.6731428571428637,-0.04599999999999227,-0.9154742857142947,-0.12789714285714415,-0.06255999999998949,-0.00873999999999854,-0.5115885714285764,-1.9606211407553074,-0.03495999999999413,-0.09742460182987182,-0.9491314285714377
61,0.68,4.3,43.78,81.02,32.88,74.32,-1.4531428571428577,-3.435999999999993,-1.9762742857142868,-0.2760971428571428,-4.672959999999991,-0.6528399999999985,-1.104388571428572,-4.232478404873261,-2.6113599999999946,-7.277194171467285,-2.048931428571429
62,0.69,4.57,44.27,81.17,33.0,74.26,-1.3331428571428603,-2.945999999999991,-1.81307428571429,-0.25329714285714355,-4.006559999999988,-0.5597399999999979,-1.0131885714285738,-3.8829619027012723,-2.238959999999993,-6.239410369366298,-1.8797314285714328
63,0.7,4.85,41.97,78.95,32.25,72.64,-2.0831428571428603,-5.245999999999995,-2.8330742857142903,-0.3957971428571434,-7.134559999999994,-0.9967399999999982,-1.5831885714285738,-6.067440041276243,-3.9869599999999963,-11.110640460860717,-2.9372314285714327
64,0.71,5.12,45.0,81.94,33.01,74.74,-1.3231428571428623,-2.215999999999994,-1.799474285714293,-0.25139714285714354,-3.013759999999992,-0.42103999999999875,-1.0055885714285753,-3.8538355275202782,-1.6841599999999954,-4.693324296848514,-1.8656314285714357
65,0.72,5.4,44.06,81.61,32.73,74.79,-1.6031428571428634,-3.1559999999999917,-2.1802742857142943,-0.3045971428571441,-4.292159999999989,-0.5996399999999982,-1.2183885714285763,-4.669374032588271,-2.3985599999999936,-6.684174855981007,-2.260431428571437
66,0.73,5.68,43.68,80.28,32.83,73.43,-1.503142857142862,-3.5359999999999943,-2.0442742857142924,-0.285597142857144,-4.808959999999993,-0.6718399999999987,-1.142388571428575,-4.37811028077827,-2.6873599999999955,-7.488986784140958,-2.1194314285714353
67,0.74,5.95,42.62,79.85,32.3,73.3,-2.033142857142863,-4.5959999999999965,-2.7650742857142943,-0.3862971428571438,-6.250559999999996,-0.8732399999999991,-1.545188571428576,-5.921808165371253,-3.4929599999999974,-9.733988478481864,-2.8667314285714367
68,0.75,6.23,44.05,81.69,32.77,74.94,-1.5631428571428572,-3.165999999999997,-2.125874285714286,-0.29699714285714274,-4.305759999999996,-0.6015399999999991,-1.1879885714285714,-4.552868531864254,-2.4061599999999976,-6.705354117248385,-2.2040314285714286
69,0.77,6.81,40.72,78.28,31.96,72.44,-2.3731428571428594,-6.495999999999995,-3.227474285714289,-0.45089714285714333,-8.834559999999994,-1.234239999999998,-1.803588571428573,-6.912104921525229,-4.9369599999999965,-13.758048119281591,-3.3461314285714314
70,0.78,7.14,45.66,83.71,33.53,76.89,-0.8031428571428592,-1.5559999999999974,-1.0922742857142886,-0.1525971428571431,-2.1161599999999967,-0.29563999999999924,-0.610388571428573,-2.339264018108289,-1.182559999999998,-3.2954930532022995,-1.1324314285714314
71,0.79,7.47,41.02,78.88,32.17,73.05,-2.1631428571428586,-6.195999999999991,-2.941874285714288,-0.4109971428571426,-8.426559999999988,-1.1772399999999976,-1.6439885714285725,-6.3004510427242355,-4.708959999999993,-13.122670281260573,-3.0500314285714305
72,0.8,7.81,40.23,77.88,32.05,72.32,-2.283142857142863,-6.985999999999997,-3.105074285714294,-0.43379714285714366,-9.500959999999997,-1.3273399999999977,-1.735188571428576,-6.649967544896243,-5.309359999999998,-14.795831921382579,-3.2192314285714367
73,0.81,8.14,39.06,76.79,31.57,71.58,-2.76314285714286,-8.155999999999992,-3.7578742857142897,-0.5249971428571438,-11.09215999999999,-1.5496399999999984,-2.0999885714285735,-8.048033553584217,-6.198559999999993,-17.273805489664504,-3.8960314285714324
74,0.82,8.47,36.76,74.32,31.04,70.07,-3.293142857142861,-10.455999999999996,-4.478674285714291,-0.6256971428571436,-14.220159999999996,-1.9866399999999977,-2.5027885714285745,-9.591731438177199,-7.946559999999997,-22.145035581158925,-4.643331428571434
75,0.83,8.81,36.5,74.0,30.81,69.74,-3.5231428571428616,-10.715999999999994,-4.791474285714292,-0.669397142857143,-14.573759999999993,-2.03604,-2.6775885714285748,-10.261638067340192,-8.144159999999996,-22.69569637411046,-4.967631428571434
76,0.84,9.14,37.64,74.59,31.05,69.71,-3.2831428571428596,-9.575999999999993,-4.465074285714289,-0.6237971428571436,-13.023359999999991,-1.8194399999999984,-2.4951885714285735,-9.562605062996196,-7.277759999999995,-20.281260589630623,-4.6292314285714316
77,0.85,9.47,36.96,73.92,30.89,69.36,-3.4431428571428597,-10.255999999999993,-4.682674285714289,-0.6541971428571438,-13.94815999999999,-1.9486399999999993,-2.6167885714285735,-10.02862706589219,-7.794559999999995,-21.72145035581158,-4.854831428571432
78,0.86,9.81,39.06,78.13,32.29,73.44,-2.043142857142861,-8.155999999999992,-2.7786742857142914,-0.38819714285714335,-11.09215999999999,-1.5496399999999984,-1.5527885714285745,-5.950934540552248,-6.198559999999993,-17.273805489664504,-2.880831428571434
79,0.87,10.14,34.23,71.37,30.18,68.16,-4.153142857142861,-12.985999999999997,-5.648274285714291,-0.7890971428571429,-17.660959999999996,-2.46734,-3.156388571428574,-12.096599703743165,-9.869359999999999,-27.503388681802782,-5.8559314285714335
80,0.88,10.47,35.98,73.58,30.81,69.68,-3.5231428571428616,-11.235999999999997,-4.791474285714292,-0.669397142857143,-15.280959999999997,-2.1348400000000005,-2.6775885714285748,-10.261638067340192,-8.539359999999999,-23.797017960013555,-4.967631428571434
81,0.89,10.81,35.08,70.67,29.89,66.55,-4.44314285714286,-12.135999999999996,-6.042674285714289,-0.8441971428571433,-16.504959999999997,-2.3058399999999963,-3.3767885714285732,-12.941264583992151,-9.223359999999996,-25.70315147407658,-6.264831428571432
82,0.9,11.14,35.37,71.28,30.48,67.42,-3.85314285714286,-11.845999999999997,-5.24027428571429,-0.7320971428571434,-16.110559999999996,-2.2507400000000004,-2.9283885714285733,-11.222808448313174,-9.002959999999998,-25.08895289732294,-5.4329314285714325
83,0.91,11.47,33.63,69.58,29.84,66.49,-4.49314285714286,-13.585999999999991,-6.110674285714291,-0.8536971428571434,-18.47695999999999,-2.5813399999999973,-3.414788571428574,-13.086896459897151,-10.325359999999993,-28.774144357844783,-6.335331428571433
84,0.92,11.71,34.12,69.58,29.7,66.0,-4.633142857142861,-13.095999999999997,-6.301074285714291,-0.8802971428571436,-17.810559999999995,-2.488240000000001,-3.521188571428574,-13.494665712431148,-9.952959999999997,-27.73636055574381,-6.5327314285714335
85,0.93,11.85,33.9,68.72,30.06,65.54,-4.273142857142862,-13.315999999999995,-5.811474285714292,-0.811897142857144,-18.109759999999994,-2.5300399999999996,-3.247588571428575,-12.446116205915164,-10.120159999999997,-28.202304303625887,-6.025131428571434
86,0.94,11.99,33.33,68.57,29.76,65.61,-4.573142857142859,-13.885999999999996,-6.219474285714289,-0.8688971428571426,-18.884959999999996,-2.6383399999999995,-3.4755885714285726,-13.319907461345142,-10.553359999999996,-29.4095221958658,-6.448131428571431
87,0.95,12.13,31.11,65.55,28.87,63.54,-5.463142857142859,-16.105999999999995,-7.429874285714289,-1.037997142857142,-21.904159999999994,-3.060139999999997,-4.151988571428573,-15.91215485245411,-12.240559999999997,-34.11131819722128,-7.703031428571431
88,0.96,12.28,34.73,69.66,30.34,66.09,-3.9931428571428604,-12.485999999999997,-5.43067428571429,-0.7586971428571436,-16.980959999999996,-2.3723400000000012,-3.034788571428574,-11.630577700847171,-9.489359999999998,-26.444425618434426,-5.6303314285714325
89,0.97,12.42,36.02,70.52,30.82,66.33,-3.51314285714286,-11.19599999999999,-4.77787428571429,-0.667497142857143,-15.226559999999989,-2.127239999999997,-2.669988571428574,-10.232511692159187,-8.508959999999993,-23.71230091494407,-4.9535314285714325
90,0.98,12.56,33.05,67.78,30.02,65.2,-4.313142857142861,-14.165999999999997,-5.865874285714291,-0.8194971428571431,-19.265759999999997,-2.69154,-3.2779885714285744,-12.56262170663916,-10.766159999999998,-30.00254151135208,-6.0815314285714335
91,0.99,12.7,33.53,68.54,30.29,65.82,-4.043142857142861,-13.685999999999993,-5.498674285714292,-0.7681971428571437,-18.61295999999999,-2.600339999999999,-3.0727885714285743,-11.77620957675217,-10.401359999999995,-28.985936970518463,-5.700831428571434
92,1.0,12.84,33.12,68.05,30.02,65.43,-4.313142857142861,-14.095999999999997,-5.865874285714291,-0.8194971428571431,-19.17056,-2.6782399999999953,-3.2779885714285744,-12.56262170663916,-10.712959999999997,-29.854286682480513,-6.0815314285714335
93,1.01,12.98,32.58,66.22,29.53,63.59,-4.803142857142859,-14.635999999999996,-6.532274285714289,-0.9125971428571429,-19.904959999999996,-2.7808399999999978,-3.650388571428573,-13.989814090508135,-11.123359999999996,-30.99796679091833,-6.772431428571431
94,1.02,13.12,33.01,69.1,29.19,65.97,-5.143142857142859,-14.205999999999996,-6.9946742857142885,-0.9771971428571433,-19.320159999999994,-2.69914,-3.908788571428573,-14.980110846662123,-10.796559999999998,-30.08725855642155,-7.251831428571431
95,1.03,13.26,34.18,69.76,29.37,65.89,-4.963142857142859,-13.035999999999994,-6.749874285714289,-0.9429971428571431,-17.728959999999994,-2.4768399999999993,-3.7719885714285732,-14.455836093404132,-9.907359999999995,-27.609284988139603,-6.998031428571431
96,1.04,13.37,33.2,67.59,28.88,64.0,-5.453142857142861,-14.015999999999991,-7.416274285714292,-1.0360971428571437,-19.06175999999999,-2.6630399999999987,-4.144388571428575,-15.883028477273117,-10.652159999999993,-29.684852592341564,-7.688931428571434
97,1.05,13.47,34.29,69.17,29.92,65.6,-4.413142857142859,-12.925999999999995,-6.001874285714288,-0.8384971428571433,-17.579359999999994,-2.4559399999999982,-3.3539885714285727,-12.853885458449149,-9.823759999999996,-27.37631311419857,-6.22253142857143
98,1.06,13.58,35.37,70.63,30.16,66.48,-4.17314285714286,-11.845999999999997,-5.67547428571429,-0.7928971428571439,-16.110559999999996,-2.2507400000000004,-3.1715885714285736,-12.154852454105162,-9.002959999999998,-25.08895289732294,-5.884131428571433
99,1.07,13.68,34.01,68.41,29.43,64.65,-4.903142857142861,-13.205999999999996,-6.668274285714291,-0.931597142857143,-17.960159999999995,-2.5091399999999986,-3.7263885714285743,-14.281077842318135,-10.036559999999998,-27.96933242968485,-6.913431428571433
100,1.08,13.79,34.03,69.46,29.77,66.0,-4.563142857142861,-13.185999999999993,-6.205874285714291,-0.8669971428571435,-17.93295999999999,-2.5053400000000003,-3.4679885714285743,-13.290781086164149,-10.021359999999994,-27.926973907150103,-6.4340314285714335
101,1.1,14.0,37.43,75.33,31.0,70.66,-3.3331428571428603,-9.785999999999994,-4.5330742857142905,-0.6332971428571428,-13.308959999999994,-1.8593399999999978,-2.533188571428574,-9.708236938901194,-7.4373599999999955,-20.72602507624533,-4.6997314285714324
102,1.11,14.11,35.9,71.95,29.49,66.99,-4.843142857142862,-11.315999999999995,-6.586674285714293,-0.9201971428571438,-15.389759999999995,-2.150039999999997,-3.680788571428575,-14.106319591232142,-8.600159999999997,-23.966452050152487,-6.828831428571434
