,Age [ka BP],ln(Zr/Rb),SS [um],ACC strength [m/s],ACC strength [%],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_culp
40,20.5,0.9255,15.0582,4.7936,60.648,-1.618369565217396,-2.2009826086956585,-0.30749021739130544,-9.70445125952556,-1.2299608695652209,-9.70445125952556,-2.281901086956528
41,21.0,0.9224,15.0509,4.7812,60.49,-1.625669565217395,-2.210910608695657,-0.30887721739130525,-9.748225250162248,-1.23550886956522,-9.748225250162248,-2.2921940869565267
42,21.5,0.9088,15.018,4.7255,59.786,-1.6585695652173946,-2.255654608695657,-0.31512821739130503,-9.945508029881045,-1.26051286956522,-9.945508029881045,-2.3385830869565263
43,22.0,0.896,14.9873,4.6733,59.126,-1.689269565217396,-2.2974066086956584,-0.32096121739130545,-10.129598648038108,-1.283844869565221,-10.129598648038108,-2.381870086956528
44,22.5,0.8823,14.9543,4.6175,58.419,-1.7222695652173954,-2.342286608695658,-0.3272312173913048,-10.327481071464256,-1.3089248695652205,-10.327481071464256,-2.428400086956527
45,23.0,0.853,14.8838,4.498,56.908,-1.7927695652173945,-2.438166608695657,-0.34062621739130483,-10.750229885147391,-1.3625048695652198,-10.75022988514739,-2.5278050869565263
46,23.5,0.8223,14.8098,4.3725,55.32,-1.8667695652173961,-2.538806608695659,-0.354686217391305,-11.193966228587856,-1.4187448695652212,-11.193966228587858,-2.6321450869565286
47,24.0,0.8152,14.7928,4.3438,54.957,-1.8837695652173956,-2.561926608695658,-0.3579162173913053,-11.295905658837688,-1.4316648695652208,-11.29590565883769,-2.6561150869565275
48,24.5,0.8134,14.7885,4.3364,54.863,-1.8880695652173944,-2.5677746086956565,-0.3587332173913049,-11.321690338253816,-1.4349328695652197,-11.321690338253816,-2.662178086956526
49,25.0,0.8062,14.7712,4.307,54.492,-1.905369565217395,-2.591302608695657,-0.3620202173913052,-11.42542869962571,-1.4480808695652203,-11.425428699625712,-2.6865710869565267
50,25.5,0.8011,14.7587,4.2859,54.225,-1.917869565217396,-2.608302608695659,-0.364395217391305,-11.500384163044714,-1.457580869565221,-11.500384163044714,-2.7041960869565282
51,26.0,0.792,14.7369,4.2489,53.757,-1.939669565217395,-2.6379506086956575,-0.36853721739130485,-11.631106491247436,-1.4741488695652203,-11.631106491247436,-2.734934086956527
52,26.5,0.7855,14.7214,4.2226,53.424,-1.9551695652173962,-2.6590306086956588,-0.37148221739130527,-11.724051265886999,-1.485928869565221,-11.724051265886999,-2.7567890869565286
53,27.0,0.7903,14.7328,4.242,53.669,-1.943769565217396,-2.643526608695659,-0.3693162173913054,-11.655691883248874,-1.477264869565221,-11.655691883248874,-2.7407150869565284
54,27.5,0.8031,14.7637,4.2943,54.331,-1.9128695652173953,-2.601502608695658,-0.363445217391305,-11.470401977677112,-1.4537808695652203,-11.47040197767711,-2.6971460869565274
55,28.0,0.8252,14.8169,4.3846,55.473,-1.859669565217395,-2.5291506086956574,-0.35333721739130475,-11.151391525365861,-1.41334886956522,-11.15139152536586,-2.622134086956527
56,28.5,0.8417,14.8565,4.4517,56.322,-1.8200695652173948,-2.4752946086956573,-0.34581321739130466,-10.91393261725448,-1.38325286956522,-10.913932617254478,-2.5662980869565266
57,29.0,0.855,14.8885,4.5059,57.008,-1.7880695652173948,-2.4317746086956573,-0.3397332173913048,-10.722046630901849,-1.35893286956522,-10.722046630901847,-2.5211780869565263
58,29.5,0.8537,14.8856,4.5009,56.945,-1.7909695652173951,-2.4357186086956575,-0.340284217391305,-10.739436298415058,-1.3611368695652204,-10.739436298415058,-2.525267086956527
59,30.0,0.862,14.9055,4.5347,57.373,-1.7710695652173953,-2.4086546086956577,-0.33650321739130495,-10.620107200652017,-1.3460128695652205,-10.620107200652017,-2.4972080869565274
60,30.5,0.8878,14.9674,4.6397,58.701,-1.7091695652173957,-2.324470608695658,-0.3247422173913055,-10.248927745801147,-1.2989688695652208,-10.248927745801149,-2.4099290869565277
61,31.0,0.907,15.0138,4.7183,59.695,-1.6627695652173955,-2.261366608695658,-0.3159262173913051,-9.970693065589833,-1.2637048695652207,-9.970693065589833,-2.3445050869565276
62,31.5,0.9083,15.0169,4.7235,59.761,-1.6596695652173956,-2.257150608695658,-0.3153372173913054,-9.952104110661923,-1.2613488695652206,-9.952104110661923,-2.3401340869565277
