MIS,SS_max,SS_min,U1541_max,U1541_min,AIS_max,AIS_min
26.0,0.408179914522679,0.858924566768397,0.1785121872878133,0.39061259551049765,0.14504384778192284,0.25390128055632805
27.0,0.18735471047061664,0.2783309682291137,0.18888034046973048,0.18159213340835575,0.06831406223960541,0.22027773896216296
28.0,0.05537606636665469,0.11855286768803523,0.08174132689857178,0.08777795802645393,0.014997831007680257,0.30642763892622293
29.0,0.16383300560246095,0.2524119786679066,0.13176290239063007,0.2976544791730649,0.20516775907671148,0.014099089993802967
30.0,0.7765679705054277,0.3093979616670056,0.40262945815146783,0.08982066412146082,0.03889347892259956,0.304487212313525
31.0,0.6927679886787055,0.3380294908955352,0.1106028141165496,0.05549144377729561,0.2659016096847449,0.20735115469238918
32.0,0.37760084534168803,0.5408478902502037,0.16723044310627297,0.15982065257747569,0.006315051850925735,0.8882775678838364
33.0,0.16061459881874426,0.12463217112918705,0.1798745001499348,0.2176316060581309,0.23952971524318925,0.10856501059967658
34.0,0.46512742762149917,0.5234418120257124,0.09385094689810612,0.036759051083991634,0.027602026589942333,0.08789559508664513
35.0,0.6348486814695259,0.15449106932717285,0.10263462745308724,0.03400897004995688,0.09508787947124293,0.18817920026243926
36.0,0.10797859315983312,0.30212796716669005,0.18475216033124045,0.07914791586523465,0.10158641731941177,0.08974611058070686
37.0,0.7143523508687704,0.18387889875337307,0.052648785335362804,0.08580739453977819,0.21211171910429866,0.22338418743154628
38.0,0.6515865720050487,0.38783145639965155,0.13361765478184515,0.06281443310219946,0.03761476402606316,0.023273864402925844
39.0,0.13730150151799517,0.26992914972656495,0.01914763977758468,0.1099248960384533,0.12856939795336184,0.18003169557444984
40.0,0.5696876539786367,0.189503603720808,0.2141653985169432,0.03238998086897217,0.05817365532759792,0.0666122901362589
41.0,0.39173745785573644,0.14738198179370054,0.0750326646434556,0.1315190966488944,0.04577402750752504,0.028197608145109434
42.0,0.16012029510366738,1.0796506760287816,0.09135440736736337,0.10075764008535394,0.11751987457839211,0.24387278659575393
43.0,0.14200823663397052,0.2978578312890382,0.12140808567041153,0.08659533386756228,0.07944545095582056,0.20110801109239457
44.0,0.5561464918025633,0.32665621010897034,0.30738495866437027,0.030253153490953793,0.031186012563931685,0.365427856037416
45.0,0.31159970301886325,0.06787927204428067,0.06329250276803011,0.08636553926088726,0.08101490445062057,0.0679751470805374
46.0,0.36500813023561546,0.10865813545741662,0.10757740414881874,0.02068774036018106,0.02546366820390173,0.18896903716654936
47.0,0.3030200620749315,0.11924104873264563,0.1562885944180697,0.07667047973586412,0.2679981550474232,0.15905231203360135
48.0,0.4016067755159845,0.32333725525666684,0.40610123559435185,0.0650599113891583,0.2061364650959225,0.10506892727861736
49.0,0.3805917900045072,0.3149800691842369,0.1307505848683738,0.04569516768162425,0.3138730550950897,0.2126781751600461
50.0,0.1011640194827644,0.5245365935275837,0.02140043003739841,0.05234370943815095,0.016749760688637857,0.0378387629828461
51.0,0.5374997288392751,0.15557213485691054,0.08666634210934228,0.06374125244542193,0.14085307802667812,4.229844729132284e-13
52.0,0.2507626455304063,0.24629740077323167,0.0716843180542831,0.0510988395877744,0.05607659569360981,0.09911136697202211
53.0,0.1580964543877365,0.1699131674910466,0.05668760523609448,0.06219069260672527,0.04132732689090706,0.12583654014170453
54.0,0.47226010392693746,0.17181355233553344,0.0883237995064669,0.05891821383322775,0.04355921545763979,0.007726558075863901
55.0,0.16409764092035178,0.10151367887913755,0.048216121157337824,0.07409055644578388,0.058837366043525345,0.04718261098751965
56.0,0.20653819799082038,0.5188900112602457,0.042225260835222315,0.054374933493891185,0.03244831109461534,0.056752187718278585
57.0,0.5132447923109009,0.4127544221178129,0.10685935890215022,0.1728644818161529,0.08040811815647377,0.063604131041038
58.0,0.05132731872687233,0.23177065495677135,0.07455267843973135,0.02148388362289755,0.03389895483844848,0.019073030317903195
59.0,0.10093417582023907,0.22494773142021973,0.06204923335593572,0.11703823914577927,0.014007005254378438,0.0063150518509257555
60.0,0.42496159779822257,0.3546431001161601,0.09628704824793696,0.10086213776210275,0.060135316214818914,0.1360533002190694
61.0,0.1749558346863908,0.569164515839523,0.07475918110765821,0.04828660644016993,0.030889223754315406,0.24241687805553813
62.0,0.5401814268643809,0.8008656130261506,0.05303163493111529,0.09166727397324471,0.09446991354163868,0.0630188248235469
63.0,0.23009846043343482,0.4637806315765068,0.03911752918334188,0.11036048916615661,0.1257211032237466,0.21269753228526256
64.0,0.4862667894993567,0.5279440912369693,0.23967319401168696,0.01285186031407509,0.04619571456362515,0.07165811108928964
65.0,0.09770613808512382,0.28673440482502355,0.18119977005904392,0.18898591800004413,0.20580523360438893,0.34055327127847057
66.0,0.381849168513144,0.5462396989061145,0.11490778467523477,0.07538719192912664,0.2992564316744526,0.4593554695956587
