,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std,LR04_age,SS_unitv,SS_dHolocene,SS_offset,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_culp
51,MD02-2588-51.5,0.515,0.515,4.525435553,0.038767827,,2.804268524,0.418546773,,1.343634531,3.279501529,21.9993,,18.127,0.12080873078669116,0.4863866666666645,21.9993,0.6128471999999973,0.08754959999999967,2.2609056204072053,0.6371665333333305
52,MD02-2588-52.5,0.525,0.525,4.51351878,0.090980052,,3.115535572,0.456681096,,0.915305626,2.23404961,23.8861,,18.481,1.0548477607363183,2.373186666666662,23.8861,2.990215199999994,0.4271735999999988,11.031451807085146,3.1088745333333274
53,MD02-2588-53.5,0.535,0.535,4.517377531,0.126576807,,3.195044869,0.678784532,,0.7183478,1.753321051,22.5766,,18.835,0.4065945755979685,1.063686666666662,22.5766,1.340245199999994,0.19146359999999918,4.944410132580812,1.3934295333333273
54,MD02-2588-54.5,0.545,0.545,4.551132671,-0.038864087,,3.177091372,0.698816572,,1.684875609,4.112392177,24.8564,,19.189,1.5351838168949603,3.3434866666666636,24.8564,4.212793199999997,0.6018275999999991,15.541766077242894,4.379967533333329
55,MD02-2588-55.5,0.555,0.555,4.459174099,0.193945497,,3.254534079,0.829095272,,4.665889018,11.38835734,19.3449,,19.543000000000003,-1.1932220096724437,-2.168013333333338,19.3449,-2.7316968000000057,-0.3902424000000009,-10.077730057946612,-2.840097466666673
56,MD02-2588-56.5,0.565,0.565,4.397389425,0.033525641,,3.249155698,0.495842286,,7.528660241,18.37572063,23.7004,,19.897,0.9629190730843962,2.1874866666666613,23.7004,2.7562331999999934,0.39374759999999887,10.168249333656007,2.865607533333326
57,MD02-2588-57.5,0.575,0.575,4.469414852,0.04240756,,2.749079861,0.48983515,,3.675457135,8.970941885,20.1525,,20.250999999999998,-0.7934287509341988,-1.3604133333333372,20.1525,-1.714120800000005,-0.2448744000000005,-6.323705730852526,-1.782141466666672
58,MD02-2588-58.5,0.585,0.585,4.475709354,0.053463148,,3.083593018,0.637028691,,4.992944752,12.18662484,19.6434,,20.604999999999997,-1.0454529560154773,-1.8695133333333374,19.6434,-2.355586800000005,-0.3365124000000006,-8.69019134863806,-2.449062466666672
59,MD02-2588-59.5,0.595,0.595,4.495217536,0.012812488,,3.316539783,0.849549532,,4.073319756,9.942032641,19.2364,,20.959,-1.2469337092428987,-2.2765133333333374,19.2364,-2.868406800000005,-0.4097724000000005,-10.58207829901856,-2.982232466666672
60,MD02-2588-60.5,0.605,0.605,4.44664949,-0.041522883,,2.95287613,0.628667591,,1.842626083,4.497424647,24.8125,,21.313,1.5134516177139188,3.299586666666663,24.8125,4.157479199999996,0.5939255999999986,15.33770259537138,4.322458533333329
61,MD02-2588-61.5,0.615,0.615,4.517742236,0.100378858,,2.872946436,0.891139472,,1.81811295,4.437593752,25.762,,21.667,1.983490868793616,4.249086666666663,25.762,5.3538491999999955,0.7648355999999996,19.751330751111638,5.566303533333329
62,MD02-2588-62.5,0.625,0.625,4.485965312,-0.105400025,,2.747297485,0.762296212,,2.562938837,6.255541695,23.8308,,22.021,1.0274721203100867,2.317886666666663,23.8308,2.920537199999995,0.41721959999999925,10.774396897119447,3.0364315333333285
63,MD02-2588-63.5,0.635,0.635,4.436476354,-0.095637545,,2.901622894,0.862665239,,2.847130968,6.949189044,22.2902,,22.375,0.2648154902801956,0.7772866666666616,22.2902,0.9793811999999936,0.13991159999999903,3.6131167109862763,1.0182455333333267
64,MD02-2588-64.5,0.645,0.645,4.448811502,0.035972831,,2.81017115,0.692624455,,1.606619271,3.921386534,21.8696,,22.729,0.05660221065500267,0.35668666666666127,21.8696,0.4494251999999932,0.06420359999999903,1.6580119165635767,0.46725953333332626
65,MD02-2588-65.5,0.655,0.655,4.365620391,-0.031016254,,2.947263739,0.903127178,,2.299511354,4.901649757,23.9284,,23.083000000000002,1.0757878979882103,2.415486666666663,23.9284,3.043513199999995,0.43478759999999905,11.22807789553993,3.1642875333333285
66,MD02-2588-66.5,0.665,0.665,4.332783002,0.101376707,,2.855839366,0.630537644,,3.391459175,6.416495082,22.3333,,23.488000000000003,0.28615165849666335,0.8203866666666642,22.3333,1.0336871999999968,0.1476695999999995,3.813461496149432,1.07470653333333
67,MD02-2588-67.5,0.675,0.675,4.375357652,0.12449487,,2.938191517,0.847261112,,5.014515703,9.487248316,23.4977,,23.944000000000003,0.8625747274352602,1.9847866666666611,23.4977,2.5008311999999933,0.35726159999999885,9.22602455517412,2.600070533333326
68,MD02-2588-68.5,0.685,0.685,4.421307632,0.060168335,,2.880862499,0.798621349,,2.808577865,5.31370868,24.7325,,24.400000000000002,1.4738485212564412,3.2195866666666646,24.7325,4.056679199999998,0.5795255999999993,14.965832924534928,4.2176585333333305
69,MD02-2588-69.5,0.695,0.695,4.330902228,0.097840826,,2.904823861,0.830791291,,4.048469173,7.659529776,27.3683,,24.855999999999998,2.778671541789211,5.855386666666664,27.3683,7.377787199999997,1.0539696000000003,27.21800890441925,7.670556533333331
70,MD02-2588-70.5,0.705,0.705,4.286950742,0.09505519,,2.954913011,0.884370329,,1.767695367,3.344403705,,,25.311999999999998,,,,,,,
71,MD02-2588-71.5,0.715,0.715,4.41124144,0.063499443,,2.823635698,0.771112411,,3.663786523,6.931726727,20.3398,,25.767999999999997,-0.7007080013531273,-1.1731133333333368,20.3398,-1.4781228000000044,-0.21116040000000047,-5.453065864006657,-1.5367784666666713
