,Depth (mcd),Age (Hall 2001),LR04 Age (Elderfield 2012),SS_mean,SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,pct_dU_dHol_mccave,dU_dhol_culp
34,3.49,0.0713120204603581,71.91549295774651,14.789,-2.4792499999999986,-3.3717799999999984,-0.4710574999999997,-14.357274188177719,-3.4957424999999978
35,3.58,0.0739360613810742,74.57746478873241,14.241,-3.0272499999999987,-4.117059999999999,-0.5751774999999997,-17.530728359851167,-4.268422499999998
36,3.66,0.0762685421994885,76.94366197183102,14.221,-3.0472499999999982,-4.144259999999998,-0.5789774999999988,-17.646547855167714,-4.296622499999997
37,3.77,0.0794757033248082,80.1971830985915,14.741,-2.5272499999999987,-3.4370599999999984,-0.4801774999999995,-14.635240976937435,-3.563422499999998
38,3.89,0.0829744245524297,83.7464788732394,14.669,-2.599249999999998,-3.5349799999999973,-0.49385749999999984,-15.052191160077008,-3.664942499999997
39,3.97,0.085306905370844,86.112676056338,14.515,-2.7532499999999978,-3.744419999999997,-0.5231174999999997,-15.944001274014438,-3.8820824999999965
40,4.07,0.0882225063938619,89.24528301886788,15.58,-1.6882499999999983,-2.2960199999999977,-0.32076749999999965,-9.776613148408195,-2.3804324999999973
41,4.17,0.0911381074168798,92.45283018867929,14.902,-2.366249999999999,-3.218099999999999,-0.4495874999999998,-13.702894039639219,-3.3364124999999984
42,4.29,0.0946368286445013,96.30188679245282,16.148,-1.1202499999999986,-1.5235399999999983,-0.21284749999999963,-6.487339481418203,-1.579552499999998
43,4.38,0.0972608695652174,99.18867924528297,16.374,-0.8942499999999995,-1.2161799999999994,-0.16990749999999988,-5.178579184341202,-1.2608924999999993
44,4.52,0.101342710997442,103.67924528301899,15.509,-1.759249999999998,-2.3925799999999975,-0.33425749999999965,-10.187772356781945,-2.480542499999997
45,4.57,0.102800511508951,105.28301886792501,15.036,-2.2322499999999987,-3.0358599999999987,-0.42412749999999955,-12.926903421018338,-3.147472499999998
46,4.67,0.105716112531969,108.49056603773599,,,,,,
47,4.78,0.108923273657289,112.018867924528,14.414,-2.8542499999999986,-3.8817799999999982,-0.5423074999999997,-16.528889725363012,-4.024492499999998
48,4.88,0.111838874680307,115.22641509433998,13.179,-4.089249999999998,-5.561379999999998,-0.7769574999999991,-23.680743561159925,-5.765842499999997
49,4.98,0.114754475703325,118.433962264151,14.696,-2.5722499999999986,-3.4982599999999984,-0.48872749999999954,-14.895834841399672,-3.626872499999998
50,5.07,0.117378516624041,121.32075471698099,14.359,-2.9092499999999983,-3.956579999999998,-0.5527574999999993,-16.847393337483524,-4.102042499999998
51,5.18,0.120585677749361,124.84905660377402,13.273,-3.9952499999999986,-5.433539999999999,-0.7590974999999993,-23.13639193317215,-5.633302499999997
52,5.28,0.123501278772379,128.05660377358498,15.04,-2.228249999999999,-3.030419999999999,-0.4233674999999999,-12.90373952195503,-3.1418324999999987
53,5.36,0.125833759590793,130.622641509434,14.688,-2.5802499999999977,-3.5091399999999973,-0.4902474999999993,-14.942162639526288,-3.6381524999999963
54,5.48,0.12895225464191,134.471698113208,13.347,-3.921249999999999,-5.332899999999999,-0.7450374999999996,-22.707859800500916,-5.528962499999998
55,5.59,0.131636604774536,138.0,14.363,-2.9052499999999988,-3.9511399999999988,-0.5519974999999997,-16.82422943842022,-4.096402499999998
56,5.68,0.133832891246684,139.914027149321,16.282,-0.9862499999999983,-1.3412999999999977,-0.1873874999999996,-5.711348862797321,-1.3906124999999976
57,5.78,0.136273209549072,142.0407239819,14.553,-2.7152499999999975,-3.692739999999997,-0.5158974999999995,-15.723944232912993,-3.8285024999999964
58,5.88,0.138713527851459,144.16742081448,14.86,-2.408249999999999,-3.2752199999999987,-0.4575674999999997,-13.94611497980397,-3.3956324999999983
59,6.05,0.142862068965517,147.782805429864,,,,,,
60,6.09,0.143838196286472,148.63348416289597,16.802,-0.4662499999999987,-0.6340999999999983,-0.08858749999999971,-2.7000419845670454,-0.6574124999999982
61,6.19,0.146278514588859,150.760180995475,16.629,-0.639249999999997,-0.8693799999999959,-0.12145749999999944,-3.7018806190551854,-0.9013424999999957
62,6.29,0.148718832891247,152.886877828054,15.071,-2.1972499999999986,-2.988259999999998,-0.41747749999999995,-12.724219304214374,-3.098122499999998
63,6.38,0.150915119363395,154.800904977376,15.962,-1.3062499999999986,-1.7764999999999982,-0.24818749999999978,-7.564460787862109,-1.8418124999999979
