,Depth [m],Age [ka BP],Revised Age (Starr),SS avg [µm],SS_dHolocene,dU_dhol_mccave,dU_dhol_mccave_2std,dU_dhol_wu,pct_dU_dHol_wu,dU_dhol_culp
124,0.78,43.15,41.912093023255814,23.46,-2.460000000000001,-3.3456000000000015,-0.46740000000000004,-1.8696000000000006,-9.490740740740742,-3.468600000000001
125,0.785,43.4,42.156279069767436,23.54,-2.3800000000000026,-3.2368000000000037,-0.4522000000000004,-1.808800000000002,-9.182098765432107,-3.3558000000000034
126,0.79,43.64,42.400465116279065,23.5,-2.4200000000000017,-3.2912000000000026,-0.4598,-1.8392000000000013,-9.336419753086425,-3.412200000000002
127,0.795,43.88,42.644651162790694,23.48,-2.4400000000000013,-3.318400000000002,-0.46360000000000046,-1.854400000000001,-9.413580246913584,-3.4404000000000017
128,0.8,44.13,42.888837209302324,23.66,-2.2600000000000016,-3.0736000000000026,-0.4293999999999998,-1.7176000000000011,-8.719135802469141,-3.186600000000002
129,0.805,44.37,43.13302325581395,23.67,-2.25,-3.06,-0.4275000000000002,-1.71,-8.680555555555555,-3.1725
130,0.81,44.62,43.37720930232558,23.57,-2.3500000000000014,-3.196000000000002,-0.44650000000000034,-1.7860000000000011,-9.066358024691363,-3.3135000000000017
131,0.8150000000000001,44.86,43.621395348837204,23.41,-2.5100000000000016,-3.4136000000000024,-0.4769000000000001,-1.9076000000000013,-9.683641975308648,-3.539100000000002
132,0.82,45.1,43.86558139534883,22.97,-2.950000000000003,-4.012000000000004,-0.5605000000000002,-2.242000000000002,-11.381172839506183,-4.159500000000004
133,0.8250000000000001,45.35,44.10976744186046,22.55,-3.370000000000001,-4.5832000000000015,-0.6402999999999999,-2.561200000000001,-13.001543209876546,-4.751700000000001
134,0.83,45.59,44.353953488372085,22.59,-3.330000000000002,-4.528800000000003,-0.6326999999999998,-2.5308000000000015,-12.847222222222229,-4.695300000000002
135,0.835,45.83,44.598139534883714,22.62,-3.3000000000000007,-4.488000000000001,-0.6269999999999998,-2.5080000000000005,-12.731481481481483,-4.6530000000000005
136,0.84,46.08,44.84232558139534,22.87,-3.0500000000000007,-4.1480000000000015,-0.5794999999999995,-2.3180000000000005,-11.766975308641978,-4.3005
137,0.845,46.32,45.08651162790697,23.43,-2.490000000000002,-3.3864000000000027,-0.4731000000000005,-1.8924000000000016,-9.60648148148149,-3.5109000000000026
138,0.85,46.57,45.3306976744186,23.83,-2.0900000000000034,-2.842400000000005,-0.39710000000000045,-1.5884000000000027,-8.063271604938285,-2.9469000000000047
139,0.855,46.81,45.574883720930224,23.84,-2.080000000000002,-2.828800000000003,-0.3952,-1.5808000000000013,-8.024691358024699,-2.9328000000000025
140,0.86,47.05,45.81906976744185,23.69,-2.2300000000000004,-3.032800000000001,-0.42369999999999974,-1.6948000000000003,-8.603395061728396,-3.1443000000000003
