Sample ID,Mid depth CCSF-361-U1475-BCDEF-20160305 (m),SS mean,SS Std
"361-U1475C-2H-4, 40-42",14.573,23.69,0.155563492
"361-U1475C-2H-4, 44-46",14.613,24.31,0.169705627
"361-U1475C-2H-4, 48-50",14.653,24.84,0.070710678
"361-U1475C-2H-4, 52-54",14.693,24.825,0.120208153
"361-U1475C-2H-4, 56-58",14.733,26.88,0.028284271
"361-U1475C-2H-4, 60-62",14.773,24.725,0.06363961
"361-U1475C-2H-4, 64-66",14.813,26.555,0.134350288
"361-U1475C-2H-4, 68-70",14.853,23.465,0.148492424
"361-U1475C-2H-4, 72-74",14.893,25.605,0.007071068
"361-U1475C-2H-4, 76-78",14.933,24.99,0.056568542
"361-U1475C-2H-4, 80-82",14.973,25.7,0.155563492
"361-U1475C-2H-4, 84-86",15.013,22.84,0.056568542
"361-U1475C-2H-4, 88-90",15.053,22.31,0.223383079
"361-U1475C-2H-4, 92-94",15.093,24.05,0.141421356
"361-U1475C-2H-4, 96-98",15.133,23.335,0.106066017
"361-U1475C-2H-4, 100-102",15.173,24.185,0.176776695
"361-U1475C-2H-4, 104-106",15.213,21.97666667,0.115902258
"361-U1475C-2H-4, 108-110",15.253,20.595,0.06363961
"361-U1475C-2H-4, 112-114",15.293,23.845,0.06363961
"361-U1475C-2H-4, 116-118",15.333,23.355,0.06363961
"361-U1475C-2H-4, 120-122",15.373,24.145,0.120208153
"361-U1475C-2H-4, 124-126",15.413,20.115,0.120208153
"361-U1475C-2H-4, 128-130",15.453,20.745,0.16263456
"361-U1475C-2H-4, 132-134",15.493,24.0725,0.098784277
"361-U1475C-2H-4, 136-138",15.533,24.12,0.113137085
"361-U1475C-2H-4, 140-142",15.573,22.1,0.014142136
"361-U1475C-2H-4, 144-146",15.613,22.35,0.028284271
"361-U1475C-2H-4, 148-150",15.653,21.1,0.042426407
"361-U1475C-2H-5, 2-4",15.693,21.69,0.028284271
"361-U1475C-2H-5, 6-8",15.733,21.94,0.113137085
"361-U1475C-2H-5, 10-12",15.773,21.34,0.028284271
"361-U1475C-2H-5, 14-16",15.813,21.66,0.014142136
"361-U1475C-2H-5, 18-20",15.853,21.76,0.028284271
"361-U1475C-2H-5, 22-24",15.893,22.69666667,0.185562209
"361-U1475C-2H-5, 26-28",15.933,22.945,0.007071068
"361-U1475C-2H-5, 30-32",15.973,21.41,0.028284271
"361-U1475C-2H-5, 34-36",16.013,23.625,0.106066017
"361-U1475C-2H-5, 38-40",16.053,22.92,0.098994949
"361-U1475C-2H-5, 42-44",16.093,24.815,0.06363961
"361-U1475C-2H-5, 46-48",16.133,24.98,0.070710678
"361-U1475C-2H-5, 50-52",16.173,24.12,0
"361-U1475C-2H-5, 54-56",16.213,22.815,0.049497475
"361-U1475C-2H-5, 58-60",16.253,23.32,0.084852814
"361-U1475C-2H-5, 62-64",16.293,22.95,0.183847763
"361-U1475C-2H-5, 66-68",16.333,22.005,0.233345238
"361-U1475C-2H-5, 70-72",16.373,22.72,0.028284271
"361-U1475C-2H-5, 74-76",16.413,22.5,0.169705627
"361-U1475C-2H-5, 78-80",16.453,22.855,0.120208153
"361-U1475C-2H-5, 82-84",16.493,22.755,0.190918831
"361-U1475C-2H-5, 86-88",16.533,23.535,0.148492424
"361-U1475C-2H-5, 90-92",16.573,25.18,0.155241747
"361-U1475C-2H-5, 94-96",16.613,24.545,0.205060967
"361-U1475C-2H-5, 98-100",16.653,26.08,0.127279221
"361-U1475C-2H-5, 102-104",16.693,26.89,0.127279221
"361-U1475C-2H-5, 106-108",16.733,25.705,0.176776695
"361-U1475C-2H-5, 110-112",16.773,26.475,0.06363961
"361-U1475C-2H-5, 114-116",16.813,25.425,0.148492424
"361-U1475C-2H-5, 118-120",16.853,24.03,0.042426407
"361-U1475C-2H-5, 122-124",16.893,26.26,0.070710678
"361-U1475C-2H-5, 126-128",16.933,26.885,0.007071068
"361-U1475C-2H-5, 130-132",16.973,23.82,0.056568542
"361-U1475C-2H-5, 134-136",17.013,27.305,0.176776695
"361-U1475C-2H-5, 138-140",17.053,27.88,0.212132034
"361-U1475C-2H-5, 142-144",17.093,27.44,0.014142136
"361-U1475C-2H-5, 146-148",17.133,29.13333333,0.289367126
"361-U1475C-2H-6, 0-2",17.173,25.91,0.334514574
"361-U1475C-2H-6, 4-6",17.213,24.75,0.028284271
"361-U1475C-2H-6, 8-10",17.253,24.295,0.007071068
"361-U1475C-2H-6, 12-14",17.293,25.355,0.06363961
"361-U1475C-2H-6, 16-18",17.333,25.4,0.014142136
"361-U1475C-2H-6, 20-22",17.373,23.39,0.028284271
"361-U1475C-2H-6, 24-26",17.413,24.025,0.134350288
"361-U1475C-2H-6, 28-30",17.453,22.94,0.141421356
"361-U1475C-2H-6, 32-34",17.493,23.005,0.233345238
"361-U1475C-2H-6, 36-38",17.533,23.395,0.077781746
"361-U1475C-2H-6, 40-42",17.573,25.92,0.197989899
"361-U1475C-2H-6, 44-46",17.613,26.66,0.042426407
"361-U1475C-2H-6, 48-50",17.653,26.28,0.028284271
"361-U1475C-2H-6, 52-54",17.693,25.78,0.098994949
"361-U1475C-2H-6, 56-58",17.733,27.355,0.134350288
"361-U1475C-2H-6, 60-62",17.773,27.665,0.205060967
"361-U1475C-2H-6, 64-66",17.813,27.865,0.205060967
"361-U1475E-3H-1, 140-142",17.859,25.275,0.007071068
"361-U1475E-3H-1, 144-146",17.899,24.475,0.205060967
"361-U1475E-3H-2, 2-4",17.979,24.18,0.028284271
"361-U1475E-3H-2, 6-8",18.019,24.685,0.205060967
"361-U1475E-3H-2, 10-12",18.059,23.62,0.113137085
"361-U1475E-3H-2, 14-16",18.099,23.875,0.021213203
"361-U1475E-3H-2, 18-20",18.139,23.96,0.028284271
"361-U1475E-3H-2, 22-24",18.179,21.02,0.113137085
"361-U1475E-3H-2, 26-28",18.219,22.71,0.141421356
"361-U1475E-3H-2, 30-32",18.259,23.795,0.049497475
"361-U1475E-3H-2, 34-36",18.299,23.215,0.120208153
"361-U1475E-3H-2, 38-40",18.339,23.425,0.16263456
"361-U1475E-3H-2, 42-44",18.379,24.69,0.255147016
"361-U1475E-3H-2, 46-48",18.419,23.575,0.148492424
"361-U1475E-3H-2, 50-52",18.459,25.06,0.155563492
"361-U1475E-3H-2, 54-56",18.499,23.61,0.183847763
"361-U1475E-3H-2, 58-60",18.539,23.11,0.183847763
"361-U1475E-3H-2, 62-64",18.579,23.965,0.205060967
"361-U1475E-3H-2, 66-68",18.619,24.655,0.134350288
