Sample ID,Depth (m),SS mean
MD02-2588-278.5,278.5,18.1872
MD02-2588-279.5,279.5,19.4616
MD02-2588-280.5,280.5,19.5958
MD02-2588-281.5,281.5,19.996
MD02-2588-282.5,282.5,20.3673
MD02-2588-283.5,283.5,19.7052
MD02-2588-284.5,284.5,21.1058
MD02-2588-285.5,285.5,21.5854
MD02-2588-286.5,286.5,21.6226
MD02-2588-287.5,287.5,19.6091
MD02-2588-288.5,288.5,20.8895
MD02-2588-289.5,289.5,19.151
MD02-2588-290.5,290.5,20.3992
MD02-2588-291.5,291.5,20.2527
MD02-2588-292.5,292.5,22.3636
MD02-2588-293.5,293.5,21.9548
MD02-2588-294.5,294.5,22.9615
MD02-2588-295.5,295.5,22.3698
MD02-2588-296.5,296.5,20.206
MD02-2588-297.5,297.5,23.0246
MD02-2588-298.5,298.5,20.8598
MD02-2588-299.5,299.5,22.0595
MD02-2588-300.5,300.5,21.1146
MD02-2588-301.5,301.5,22.0698
MD02-2588-302.5,302.5,22.5199
MD02-2588-303.5,303.5,20.5382
MD02-2588-304.5,304.5,22.2195
MD02-2588-305.5,305.5,22.9833
MD02-2588-306.5,306.5,23.4452
MD02-2588-307.5,307.5,22.182
MD02-2588-308.5,308.5,23.9431
MD02-2588-309.5,309.5,21.1678
MD02-2588-310.5,310.5,20.6687
MD02-2588-311.5,311.5,21.6728
MD02-2588-312.5,312.5,24.1266
MD02-2588-313.5,313.5,
MD02-2588-314.5,314.5,20.7366
MD02-2588-315.5,315.5,19.776
MD02-2588-316.5,316.5,21.943
MD02-2588-317.5,317.5,22.5852
MD02-2588-318.5,318.5,21.9202
MD02-2588-319.5,319.5,21.5105
MD02-2588-320.5,320.5,19.0984
MD02-2588-321.5,321.5,21.671
MD02-2588-322.5,322.5,22.6404
MD02-2588-323.5,323.5,23.8238
MD02-2588-324.5,324.5,22.9056
MD02-2588-325.5,325.5,21.4833
MD02-2588-326.5,326.5,22.593
MD02-2588-327.5,327.5,21.2806
MD02-2588-328.5,328.5,20.5268
MD02-2588-329.5,329.5,22.5606
MD02-2588-330.5,330.5,22.7391
MD02-2588-331.5,331.5,22.2639
