,Sample ID,Depth (m),APcomp Depth (m),Cwu d18O (VPDB),Cwu d13C (VPDB),n specimens G. trunc,Gtrunc d18O (VDPB),Gtrunc d13C (VPDB),sample weight (g),IRD #/g,IRD MAR ,SS mean,SS Std
1529,"361-U1475E-4H-2, 60-62",29.301,30.456,3.757,-0.194,2,1.967,0.687,24.40070533,24.40070533,94.82360961,24.705,0.021213203
1530,"361-U1475E-4H-2, 64-66",29.341,30.496,3.756,-0.066,3,2.057,0.921,28.13310475,28.13310475,108.5980841,26.34,0.169705627
1531,"361-U1475E-4H-2, 68-70",29.381,30.536,3.841,-0.346,6,1.736,0.617,20.60829601,20.60829601,81.00569497,24.915,0.134350288
1532,"361-U1475E-4H-2, 72-74",29.421,30.576,3.682,0.111,4,1.692,0.587,6.020412963,6.020412963,24.3551228,25.05,0.070710678
1533,"361-U1475E-4H-2, 76-78",29.461,30.616,3.654,0.343,15,1.688,0.901,3.036197163,3.036197163,12.32052117,23.085,0.06363961
1534,"361-U1475E-4H-2, 80-82",29.501,30.656,3.45,0.28,9,1.682,1.079,2.731307614,2.731307614,10.88487214,24.125,0.091923882
1535,"361-U1475E-4H-2, 84-86",29.541,30.696,3.483,-0.074,15,1.657,1.034,4.663363451,4.663363451,18.80477894,22.14666667,0.144683563
1536,"361-U1475E-4H-2, 88-90",29.581,30.736,3.244,0.562,15,1.633,1.044,18.30514015,18.30514015,73.63406302,23.355,0.176776695
1537,"361-U1475E-4H-2, 92-94",29.621,30.776,3.417,0.333,15,1.702,1.023,18.82590242,18.82590242,75.16709989,21.78,0.141421356
1538,"361-U1475E-4H-2, 96-98",29.661,30.816,2.986,0.626,12,1.559,1.062,0,0,0,21.875,0.06363961
1539,"361-U1475E-4H-2, 100-102",29.701,30.856,2.872,0.595,15,1.486,1.1,0,0,0,21.28,0
1540,"361-U1475E-4H-2, 104-106",29.741,30.896,2.83,0.752,12,1.556,1.083,4.6932864,4.6932864,18.61489516,19.51,0.070710678
1541,"361-U1475E-4H-2, 108-110",29.781,30.936,2.962,0.701,15,1.508,1.065,0,0,0,20.98,0.028284271
1542,"361-U1475E-4H-2, 112-114",29.821,30.976,2.883,0.327,15,1.364,1.066,0,0,0,21.79,0.028284271
1543,"361-U1475E-4H-2, 116-118",29.861,31.016,2.845,0.61,9,1.288,0.976,0,0,0,21.06,0.098994949
1544,"361-U1475E-4H-2, 120-122",29.901,31.056,2.816,0.487,14,1.547,1.148,0,0,0,21.78,0.028284271
1545,"361-U1475E-4H-2, 124-126",29.941,31.096,2.825,0.6,7,1.468,1.177,0,0,0,22.625,0.148492424
1546,"361-U1475E-4H-2, 128-130",29.981,31.136,2.805,0.606,5,1.51,1.095,0,0,0,23.51,0.141421356
1547,"361-U1475E-4H-2, 132-134",30.021,31.176,3.02,0.53,5,1.531,1.133,1.250097664,1.250097664,4.948832267,21.675,0.077781746
1548,"361-U1475E-4H-2, 136-138",30.061,31.216,3.24,0.401,5,1.537,1.398,0,0,0,22.26,0.158745079
1549,"361-U1475E-4H-2, 140-142",30.101,31.256,2.736,0.352,6,1.226,0.899,0,0,0,22.03,0.169705627
1550,"361-U1475E-4H-2, 144-146",30.141,31.296,3.03,0.438,10,1.527,1.066,0,0,0,21.945,0.021213203
1551,"361-U1475E-4H-2, 148-150",30.181,31.336,2.905,0.367,5,1.372,0.772,0,0,0,20.17,0.212132034
1552,"361-U1475E-4H-3, 2-4",30.221,31.376,3.004,0.245,2,1.361,1.102,0,0,0,20.875,0.035355339
1553,"361-U1475E-4H-3, 6-8",30.261,31.416,2.879,0.582,,,,1.291520362,1.291520362,5.255914312,20.265,0.134350288
